adminNumber,streamMile,netAbs,wdid,latitude,longitude,adjudicationDate
11146,56.47,1415264.4,3601044,39.475293,-106.047168,3/2/2010
12053,18.84,12,5100699,39.952082,-105.814357,8/11/2006
12174,6.16,18.64,5000653,40.134811,-106.288257,8/11/2006
12659,10.27,24,5300555,39.942832,-107.066621,10/1/2009
12950,6.36,11,5000574,40.163442,-106.491878,8/11/2006
13027,0.03,295162.56,3600963,39.475175,-106.04724,3/2/2010
13028,1.31,579348,5100704,40.26856,-105.820168,8/11/2006
13087,0.94,294901.2,3603599,39.473441,-106.058321,3/2/2010
13350,3.31,13,3801104,39.164773,-106.940391,10/1/2009
13395,11.56,11,3800902,39.460043,-107.100626,10/1/2009
13468,10.31,14.88,3900645,39.616871,-107.764048,10/1/2009
13484,8.23,11.8,3900574,39.596753,-107.765646,10/1/2009
13535,5.02,15,7000580,39.367592,-108.255436,10/1/2009
13596,117.93,47.817,4500668,39.53854,-107.646963,10/1/2009
13619,5.72,40989.96,3803724,39.3681,-107.289287,10/1/2009
13661,26.65,20,3800757,39.357198,-107.026504,10/1/2009
13700,1.33,417740.4,3803747,39.340785,-107.191844,10/1/2009
13755,2.51,11.23,7200818,39.210474,-107.979529,10/1/2009
13780,8.4,16.62,7200784,39.086792,-108.127115,10/1/2009
13786,2.26,18.4,5300591,39.957461,-107.075771,10/1/2009
13891,5.87,18.72,7200799,39.133741,-107.998629,10/1/2009
13984,5.42,8712000,3803744,39.435393,-107.089115,10/1/2009
14093,1.22,13.4,3600800,39.777229,-106.179891,3/2/2010
14102,4.79,15.7,7200870,39.186205,-107.955565,10/1/2009
14122,5.07,13.158,7200533,39.182964,-107.952631,10/1/2009
14147,122.23,50,3900612,39.55079,-107.571276,10/1/2009
14211,1.6,13,3801790,39.204908,-106.799817,10/1/2009
14509,11.85,23.5,5000654,40.194336,-106.307848,8/11/2006
14816,10.27,13,5300704,39.93012,-107.069714,10/1/2009
14854,305.63,524.6,5104601,40.4765,-105.822919,8/11/2006
15113,1.82,873378,5100827,39.983839,-105.871889,8/11/2006
15157,1.59,15,3600801,39.879016,-106.389365,3/2/2010
15307.13991,5.84,7500160.8,4503582,39.430256,-107.761429,10/1/2009
15414,3.99,7000092,4503587,39.500148,-107.725102,10/1/2009
15458.13715,7.69,100,3900563,39.675752,-107.698383,10/1/2009
15514.1508,0.21,30,3801101,39.167421,-106.881098,10/1/2009
15515.13104,3.71,60,3800869,39.16192,-106.847064,10/1/2009
