wdid,streamMile,sum_netAbs,waterDistrict
3600501,4.04,3.5,36
3600502,4.04,2,36
3600507,0.55,11,36
3600508,0.92,0,36
3600514,0.1,3,36
3600516,0.45,3,36
3600517,0.61,5.13,36
3600519,0.1,0.3,36
3600520,12.51,2.5,36
3600521,0.5,4.17,36
3600522,2.01,4.25,36
3600523,1.11,2.2,36
3600526,1.3,6.8,36
3600529,50.45,6.109,36
3600530,30.94,1.55,36
3600531,29.8,0.5,36
3600532,1.89,0.75,36
3600534,0.86,2,36
3600535,43.64,7.63,36
3600536,,3,36
3600538,52.85,0.08,36
3600540,2.05,11.08,36
3600541,1.31,13.1,36
3600542,1.07,6.48,36
3600545,3.51,4.58,36
3600546,3.49,4.58,36
3600553,1.18,3.6495,36
3600555,0.94,2,36
3600567,0.77,2,36
3600568,2.16,6.18,36
3600569,1.52,3,36
3600570,0.5,6,36
3600571,4.82,5,36
3600575,3.46,0.75,36
3600576,2.33,0.25,36
3600577,1.43,2,36
3600578,1.31,3.58,36
3600579,0.97,0,36
3600580,6.99,0.6,36
3600581,0.5,3.6,36
3600584,0.29,1.4537,36
3600588,8.1,3.19,36
3600589,1.81,10,36
3600591,2.04,3.8,36
3600593,0.24,2,36
3600594,2.11,6,36
3600595,1.68,3,36
3600596,1.35,2,36
3600597,0.85,1.31,36
3600603,37.63,16.98,36
3600606,0.6,90,36
3600609,1.86,5.66,36
3600610,0.4,0.5,36
3600611,1.48,0.33,36
3600612,3.78,10,36
3600613,1.29,1.35,36
3600614,2.02,4.13,36
3600617,1.29,5,36
3600618,0.01,5.25,36
3600623,1.78,1,36
3600625,18.46,20,36
3600629,0.63,3.34,36
3600631,0.93,2,36
3600633,1.93,3.5,36
3600634,1.03,4,36
3600637,0.24,1.5,36
3600640,1.2,3.32,36
3600641,1.25,2,36
3600642,30.25,26,36
3600643,1.25,6,36
3600644,1.35,4,36
3600645,3.5,37.38,36
3600646,2.85,6.8,36
3600647,2.52,3.02,36
3600649,1.56,50.39,36
3600651,0,4,36
3600652,3.83,1.5,36
3600653,3.84,3.02,36
3600654,1.01,2,36
3600655,0.8,1,36
3600656,3.68,5,36
3600658,1.25,9.88,36
3600659,1.36,3,36
3600660,28.69,25.1,36
3600662,2.05,25,36
3600665,1.1,5.48,36
3600666,2.83,0,36
3600670,0.75,15,36
3600671,33.99,40.95,36
3600675,6.1,3.02,36
3600678,1.71,1.5,36
3600683,0.61,11.04,36
3600687,1.89,16.65,36
3600689,0.4,6.58,36
3600691,2.82,6.65,36
3600696,0.81,5,36
3600697,1.94,1,36
3600699,1.79,4,36
3600702,1.37,8.42,36
3600704,0.37,0.6,36
3600705,29.59,6,36
3600706,0.36,2,36
3600709,3.57,75.8,36
3600711,16.18,0.004,36
3600714,0.42,2.5,36
3600715,0.07,0,36
3600717,39.8,2.75,36
3600718,0.53,0.36,36
3600720,1.52,4.2,36
3600721,1.5,2,36
3600722,1.12,0.35,36
3600723,1.46,0.15,36
3600724,1.78,0.25,36
3600725,2.94,8,36
3600726,1.25,15.5,36
3600727,1.25,5,36
3600728,2.37,11.03,36
3600729,2.53,10.2,36
3600730,2.1,12,36
